field,average_adjacent,stdev_adjacent,sensor,date
AES,0.1692250536547767,0.008643234325021499,11,2015-07-08
AES,0.1659710572825538,0.006514109612220185,10,2015-07-08
AES,0.18770192397965324,0.008644803376726417,3,2015-07-08
AES,0.15341565675205654,0.006462691895176336,4,2015-07-08
AES,0.1777707172764672,0.003698288840484658,9,2015-07-08
AES,0.17256367041005027,0.0070740576951932995,12,2015-07-08
AES,0.15770151052210066,0.005292592339521927,8,2015-07-08
AES,0.17664523422718048,0.005333228752515009,5,2015-07-08
AES,0.17093193199899462,0.002095154403673968,6,2015-07-08
AES,0.1709552374151018,0.0051614234900978955,7,2015-07-08
AES,0.16332811779446071,0.004069874112860825,2,2011-07-09
AES,0.16954917377895778,0.0050994697773639845,1,2011-07-09
AES,0.4772767126560211,0.009747929700683826,11,2011-07-09
AES,0.5127422743373447,0.03487430019248797,10,2011-07-09
AES,0.5738054050339593,0.012254657470133976,3,2011-07-09
AES,0.1576545255051719,0.005353471267944314,4,2011-07-09
AES,0.43158984184265137,0.027693745774419222,9,2011-07-09
AES,0.5763071245617337,0.012150688736438332,12,2011-07-09
AES,0.33473939696947735,0.010315279383711306,8,2011-07-09
AES,0.5917002691162957,0.007930298198223999,5,2011-07-09
AES,0.5806702309184604,0.012080437735492762,6,2011-07-09
AES,0.50070654352506,0.01652638365760507,7,2011-07-09
J,0.11426995529068841,0.0056008710898771035,5,2014-05-30
J,0.12830456097920737,0.010754751563554751,2,2014-05-30
J,0.12553166018591988,0.006632065100061596,4,2014-05-30
J,0.11679104632801479,0.005104294954852886,1,2014-05-30
J,0.12088489118549559,0.003314942713988955,10,2014-05-30
J,0.12781524658203125,0.0072281369957368745,8,2014-05-30
J,0.15661197735203636,0.005777101436854755,9,2014-05-30
J,0.1338518973853853,0.006256676513747494,7,2014-05-30
J,0.13002289169364506,0.007644707882793009,11,2014-05-30
J,0.1531007919046614,0.010709668327792419,6,2014-05-30
J,0.13411209152804482,0.006953419332314667,3,2014-05-30
J,0.13571430577172172,0.008002900013174495,12,2014-05-30
J,0.5002006623480055,0.013938174415001444,5,2013-06-15
J,0.4444870385858748,0.054883717938863284,2,2013-06-15
