field,sensor,date,average_adjacent,stdev_adjacent,sensor_full_name,depth_1,depth_2,depth_3,year,precip.cm,tair.C,rh.pct,wind_sp.m_per_s,irradiance.w_per_m.2,sand_1,sand_2,sand_3,silt_1,silt_2,silt_3,clay_1,clay_2,clay_3,l3_depth_1,l3_depth_2,l3_depth_3,l5_depth_1,l5_depth_2,l5_depth_3,l7_depth_1,l7_depth_2,l7_depth_3,avg_soilM,avg_soilM_l3,avg_soilM_l5,avg_soilM_l7,avg_clay,avg_sand,avg_silt
AES,12,2015-06-19,0.47635800970925224,0.01360387189827191,A12-C,0.19036729293291363,0.1803714813204421,0.1997234739807191,2015,0.051,18.05416667,45.95833333,4.3,346.5,17.093240431138867,11.6480896423963,10.552703173328,58.333787266612795,63.9508412663666,66.8250514635646,24.572972302248303,24.4010690912371,22.6222453631073,0.20245583116704607,0.18959749223923772,0.21077561073612958,0.20934307519200843,0.1920347128632735,0.21785733133918905,0.21749303826055233,0.1972642353654107,0.22409021811395258,0.18536938712667786,0.20094297804747113,0.20641170646482365,0.2129491639133052,23.865428918864236,13.098011082287723,63.036559998848
AES,5,2015-06-19,0.5012980136606429,0.014522984960098644,A5-C,0.12515506910877142,0.12093595083352288,0.18606319204188437,2015,0.051,18.05416667,45.95833333,4.3,346.5,16.239896948098203,17.8162778545966,14.8911260428653,62.309404110917605,56.3756767036222,67.1593474607257,21.450698940984267,25.8080454417812,17.949526496409,0.1291076371499059,0.1273357418295222,0.1973362967100474,0.1341061474985458,0.13397337939134832,0.20288054064012154,0.14350588832516695,0.14336263975657898,0.20801588344879784,0.12304550997114715,0.15125989189649183,0.15698668917667188,0.16496147051018126,21.736090293058155,16.315766948520036,61.94814275842183
AES,6,2015-06-19,0.4529274602731069,0.04675293879320572,A6-C,NA,0.15258728632561266,NA,2015,0.051,18.05416667,45.95833333,4.3,346.5,13.2307720961347,13.1983045778463,16.1351542440369,61.88395677312187,62.5642400679264,60.3850434535499,24.885271130743433,24.2374553542273,23.4798023024132,NA,0.16283885630207803,NA,NA,0.17214578280482154,NA,NA,0.18120793973192217,NA,0.15258728632561266,0.16283885630207803,0.17214578280482154,0.18120793973192217,24.20084292912798,14.188076972672635,61.61108009819939
AES,7,2015-06-19,0.49456893073187935,0.015273268397274189,A7-C,0.24583854066539312,0.2777881915616976,0.2909096273858162,2015,0.051,18.05416667,45.95833333,4.3,346.5,12.325174660826967,15.3133261946953,16.3294452097936,62.336371726177106,60.7100102025676,61.403833781877,25.338453612995934,23.9766636027371,22.2667210083294,0.25785810097854583,0.28480913962464577,0.298400479292849,0.26490954142850764,0.2902511451988655,0.30468178746376434,0.27405528327492745,0.2958918606892786,0.3086769649375229,0.26181336611354533,0.28035590663201354,0.28661415803037915,0.292874702967243,23.860612741354146,14.655982021771957,61.4834052368739
AES,2,2012-06-25,0.5866358743773566,0.02336089161955435,A2-C,0.1821091082999284,0.2644687901104728,0.2619577137689565,2012,0,17.44166667,59,3,328.9583333,13.037486059510032,19.3836758273507,11.2229213618603,61.8702846045774,55.6573409259707,62.9225674014875,25.092229335912567,24.9589832466786,25.8545112366523,0.19263777003204138,0.2732921772605395,0.2683103177958303,0.1993361702529143,0.2820205075703493,0.2746044734820313,0.20745446117679053,0.28850549645009665,0.27835612634896595,0.2232889492052006,0.2447467550294704,0.2519870504350983,0.2581053613252844,25.30190793974782,14.548027749573677,60.15006431067853
AES,1,2012-06-25,0.5445650021235148,0.010539194851478728,A1-C,0.20717264062091723,0.2365713153495428,0.3271539640924951,2012,0,17.44166667,59,3,328.9583333,13.596915430126899,14.5304209206635,15.0789597123051,57.41014089906983,54.141284529799,51.3194697798878,28.992943670803268,31.3282945495374,33.6015705078071,0.2156726988027451,0.24437186105551234,0.33208769286134565,0.2199069870451742,0.2589988114189088,0.3380610750115587,0.23672608365125392,0.26735071106859665,0.3402180782903287,0.22187197798523,0.2640440842398677,0.2723222911585472,0.2814316243367264,31.307602909382588,14.4020986876985,54.29029840291888
AES,11,2012-06-25,0.5662364032533433,0.024052639158921387,A11-C,0.23582060041113267,0.2883625484850872,0.2692090429964868,2012,0,17.44166667,59,3,328.9583333,18.925437259432,14.7678525740071,13.6907419134922,59.48575425013706,66.090493136756,63.4670154930122,21.588808490430996,19.1416542892369,22.8422425934955,0.25136966378077147,0.2932118095976795,0.2705437956317525,0.26588830259881063,0.3028339279057776,0.2712081059019843,0.27418343580917665,0.3068117068391005,0.2722035492915316,0.26209157444810993,0.27170842300340114,0.27997677880219085,0.28439956397993627,21.190901791054465,15.7946772489771,63.01442095996842
AES,10,2012-06-25,0.5736973153220283,0.015614607643111922,A10-C,0.1892312511645466,0.2408297590443894,0.29981023925746453,2012,0,17.44166667,59,3,328.9583333,16.7588176913764,11.2803361804534,10.9774528298485,58.85767382278813,65.9210082743388,63.446604217991,24.383508485835478,22.7986555452078,25.5759429521605,0.20551835215124042,0.25034561466740823,0.30185137943474516,0.21686943077390602,0.2609812695259966,0.30342783313655397,0.23089492684983676,0.26716373148841566,0.3043249809505024,0.215030505104468,0.2525717820844646,0.2604261778121522,0.2674612130962516,24.252702327734593,13.0055355672261,62.741762105039314
AES,3,2012-06-25,0.535389264424642,0.012256801544186617,A3-C,0.25807574381249265,0.30607486648501625,0.3456130754809704,2012,0,17.44166667,59,3,328.9583333,16.468527476474602,14.9466843622718,12.9911532095528,61.93675629086386,60.620355343708,63.0796890878262,21.594716232661565,24.4329602940202,23.929157702621,0.26530541771616983,0.3063628381441156,0.3484160300890464,0.26530541771616983,0.3066508098032149,0.35064801246214405,0.27116977865718894,0.3075130003993207,0.35176214984273513,0.28207530514875445,0.30669476198311063,0.3075347466605096,0.3101483096330816,23.31894474310092,14.802121682766401,61.87893357413269
AES,4,2012-06-25,0.47281579507721794,0.03322158679994854,A4-C,NA,0.3627542988826119,0.3564065680977259,2012,0,17.44166667,59,3,328.9583333,14.672770180137,16.0482902258725,15.4741957687039,56.37694793751887,60.6319586276053,62.3292290364519,28.950281882344132,23.3197511465222,22.1965751948442,NA,0.3557590077143308,0.35289547492531376,NA,0.35342052421138936,0.3537753431427441,NA,0.3604279109839962,0.35289547492531376,0.3627542988826119,0.3543272413198223,0.3535979336770667,0.356661692954655,24.822202741236843,15.398418724904467,59.77937853385869
AES,12,2012-06-25,0.5026116867860159,0.016112530895451952,A12-C,0.24704890620092795,0.26356919741145446,0.2809754237824734,2012,0,17.44166667,59,3,328.9583333,17.093240431138867,11.6480896423963,10.552703173328,58.333787266612795,63.9508412663666,66.8250514635646,24.572972302248303,24.4010690912371,22.6222453631073,0.2605114137508821,0.26883312801382053,0.28436295883308327,0.2813169937272211,0.2752251706420058,0.2866010897186192,0.2774837625847281,0.2779281981180435,0.2879923368415027,0.25530905180619123,0.2712358335325953,0.28104775136261534,0.28113476584809144,23.865428918864236,13.098011082287723,63.036559998848
AES,5,2012-06-25,0.5065877669387393,0.01879856924105346,A5-C,0.3167992567170661,0.34686347513254007,0.30039591953833145,2012,0,17.44166667,59,3,328.9583333,16.239896948098203,17.8162778545966,14.8911260428653,62.309404110917605,56.3756767036222,67.1593474607257,21.450698940984267,25.8080454417812,17.949526496409,0.32916789375269717,0.3478664833404153,0.30192998588828335,0.33470939130157396,0.3488694915482905,0.30284632117290344,0.3488786523771378,0.3508677687031777,0.30345686931887095,0.3318313659248031,0.32632145432713194,0.32880840134092265,0.3344010967997288,21.736090293058155,16.315766948520036,61.94814275842183
AES,6,2012-06-25,0.48681782682736713,0.031405055613752286,A6-C,NA,0.3470290443276412,0.26682696883417123,2012,0,17.44166667,59,3,328.9583333,13.2307720961347,13.1983045778463,16.1351542440369,61.88395677312187,62.5642400679264,60.3850434535499,24.885271130743433,24.2374553542273,23.4798023024132,NA,0.3470290443276412,0.26720135557321145,NA,0.3480229330290135,0.2675745612815291,NA,0.34901526146554845,0.2679477669898468,0.3470290443276412,0.30711519995042635,0.30779874715527133,0.30848151422769765,24.20084292912798,14.188076972672635,61.61108009819939
