date,farm,sensor,spad,lai,height,notes
2013-05-01,W,6,48.2,2.32,39,
2013-05-01,W,7,45,2.08,34,
2013-05-01,W,8,54,1.56,39,
2013-05-01,W,9,45.2,2.49,39,
2013-05-01,W,10,48.1,2.35,39,
2013-05-01,W,11,46.2,1.5,33,
2013-05-01,W,12,47.9,1.99,31,
2013-05-10,W,1,49.2,2.15,45,
2013-05-10,W,2,45.7,2.18,44,
2013-05-10,W,3,43.6,2.52,41,
2013-05-10,W,4,45.8,2.31,42,
2013-05-10,W,5,41.4,2.71,48,
2013-05-10,W,6,45,2.74,43,
2013-05-10,W,7,43.9,2.59,43,
2013-05-10,W,8,43.9,2.34,42,
2013-05-10,W,9,42.6,3.01,47,
2013-05-10,W,10,45.1,3.02,54,
2013-05-10,W,11,44.9,2.32,45,
2013-05-10,W,12,45.9,2.5,49,
2013-05-16,W,1,53.3,2.89,52,
2013-05-16,W,2,46.3,2.82,50,
2013-05-16,W,3,46.4,2.95,53,
2013-05-16,W,4,49.1,3.07,54,
2013-05-16,W,5,42.8,3.49,57,
2013-05-16,W,6,44.5,3.28,54,
2013-05-16,W,7,48.6,3.25,53,
2013-05-16,W,8,45.9,3.38,54,
2013-05-16,W,9,47,4.09,56,
2013-05-16,W,10,46.4,3.48,60,
2013-05-16,W,11,49.2,2.52,64,
2013-05-16,W,12,45.1,4.56,52,
2013-05-23,W,1,49.2,4.21,60.5,
2013-05-23,W,2,45.7,2.57,62.5,
2013-05-23,W,3,42,1.98,63.5,
2013-05-23,W,4,48.2,3.44,68,
2013-05-23,W,5,43.4,3.92,68,
2013-05-23,W,6,46.3,3.11,67,
2013-05-23,W,7,47.8,3.7,66,
2013-05-23,W,8,46.4,3.22,67,
2013-05-23,W,9,46.7,3.16,68,
2013-05-23,W,10,46.2,3.29,76,
2013-05-23,W,11,43.6,1.73,64,
2013-05-23,W,12,47.4,3.61,73,
2013-05-29,W,1,50.6,3.05,69,
2013-05-29,W,2,47.9,3.4,75,
2013-05-29,W,3,44.2,3.26,67,
2013-05-29,W,4,50.9,3.8,74,
2013-05-29,W,5,44.1,3.58,80,
2013-05-29,W,6,45.7,4.15,76,
2013-05-29,W,7,49,3.65,69,
