"DOY","field","sensor","raw_smr","filename","date","depth_1","depth_2","depth_3","year","day","sm_mean","error"
"1772011","AES",3,0.2097889,"rz.mc_1772011.asc","2011-06-26",NA,NA,NA,2011,177,NA,NA
"1772012","AES",3,0.17990658,"rz.mc_1772012.asc","2012-06-25",0.258075743812493,0.306074866485016,0.34561307548097,2012,177,0.30325456192616,0.12334798192616
"1772012","OD",3,0.27404988,"rz.mc_1772012.asc","2012-06-25",0.157089480550125,0.253062982727522,0.261617641184944,2012,177,0.223923368154197,0.0501265118458029
"1782013","OD",3,0.26250433,"rz.mc_1782013.asc","2013-06-27",0.274480933883814,0.32590371556227,0.28656972184091,2013,178,0.295651457095664,0.0331471270956644
"1802013","AES",3,0.19226755,"rz.mc_1802013.asc","2013-06-29",0.244752112051098,0.297556105746324,0.311558660037612,2013,180,0.284622292611678,0.092354742611678
"1852013","OD",3,0.23361295,"rz.mc_1852013.asc","2013-07-04",0.20154965151621,0.290019073690221,0.287071033126448,2013,185,0.25954658611096,0.0259336361109596
"1862011","OD",3,0.22364558,"rz.mc_1862011.asc","2011-07-05",NA,NA,NA,2011,186,NA,NA
"1882012","AES",3,0.18120906,"rz.mc_1882012.asc","2012-07-06",0.317662277964545,0.302888210041809,0.335988114948476,2012,188,0.318846200984944,0.137637140984944
"1882014","OD",3,0.2228866,"rz.mc_1882014.asc","2014-07-07",0.176266786538453,0.185205095018496,0.165181878350198,2014,188,0.175551253302382,0.0473353466976177
"1892013","AES",3,0.16766879,"rz.mc_1892013.asc","2013-07-08",0.235966086528883,0.293138558781045,0.303203556586158,2013,189,0.277436067298696,0.109767277298696
"1892014","AES",3,0.16526798,"rz.mc_1892014.asc","2014-07-08",0.165739982435538,0.252172119411726,0.26808077251387,2014,189,0.228664291453711,0.0633963114537114
"1902011","AES",3,0.1680275,"rz.mc_1902011.asc","2011-07-09",NA,NA,NA,2011,190,NA,NA
"1922012","OD",3,0.24247982,"rz.mc_1922012.asc","2012-07-10",0.134468355509734,0.206823319391323,0.205942863110768,2012,192,0.182411512670608,0.0600683073293916
