date,field,sensor,sand_1,sand_2,sand_3,sand_4,sand_5,silt_1,silt_2,silt_3,silt_4,silt_5,clay_1,clay_2,clay_3,clay_4,clay_5,TN_1,TN_2,TN_3,TN_4,TN_5,TC_1,TC_2,TC_3,TC_4,TC_5
2011,AES,11,18.925437259432,14.7678525740071,13.6907419134922,12.3809556494372,10.9934483489637,59.48575425013706,66.090493136756,63.4670154930122,58.4454137681345,59.2912641287853,21.588808490430996,19.1416542892369,22.8422425934955,29.1736305824283,29.7152875222511,0.13246333333333335,0.07024,0.04877,0.04353,0.03595,1.7141666666666666,0.68829,0.39135,0.31482,0.30931
2011,AES,12,17.093240431138867,11.6480896423963,10.552703173328,8.87566545464404,10.7080421046978,58.333787266612795,63.9508412663666,66.8250514635646,66.4522753381075,64.3583127250278,24.572972302248303,24.4010690912371,22.6222453631073,24.6720592072484,24.9336451702744,0.14068333333333333,0.11841,0.07142,0.06286,0.05906,1.6666999999999998,1.2106,0.6237,0.41333,0.35151
2012,AES,1,,,,,,,,,,,,,,,,0.08523,0.0491,0.02529,0.02361,0.02394,0.96099,0.47851,0.28254,0.24087,0.19632
2012,AES,2,,,,,,,,,,,,,,,,0.10239,0.08574,0.06519,0.0639,0.04745,1.4276,1.026,0.76831,0.61972,0.40875
2012,AES,3,,,,,,,,,,,,,,,,0.12608,0.13649,0.11296,0.09283,0.07798,1.4362,1.5383,1.3576,0.98752,0.65286
2012,AES,4,,,,,,,,,,,,,,,,0.05881,0.0274,0.02971,0.02784,0.01861,0.65266,0.261,0.19009,0.18469,0.15951
2012,AES,5,,,,,,,,,,,,,,,,0.12256,0.12377,0.12625,0.11537,0.07596,1.3433,1.4328,1.4184,1.1133,0.7447
2012,AES,6,,,,,,,,,,,,,,,,0.16252,0.13576,0.15195,0.13436,0.10308,1.6992,1.7383,1.6051,1.3328,0.93965
2012,AES,7,,,,,,,,,,,,,,,,0.10551,0.07692,0.05297,0.06555,0.02941,1.4707,0.99217,0.48072,0.30783,0.24644
2012,AES,8,,,,,,,,,,,,,,,,0.05765,0.01443,,,,0.38705,0.17686,,,
2012,AES,9,,,,,,,,,,,,,,,,0.10963,0.10196,0.07349,0.05583,0.04637,1.182,1.2824,1.0186,0.52279,0.30206
2012,AES,10,,,,,,,,,,,,,,,,0.10541,0.04645,0.03797,0.03879,0.03044,1.4267,0.49904,0.37917,0.30587,0.29962
2012,AES,11,,,,,,,,,,,,,,,,0.09968,0.06631,0.04121,0.03357,0.03525,1.2939,0.5426,0.31169,0.27302,0.23253
2012,AES,12,,,,,,,,,,,,,,,,0.18618,0.1153,0.08124,0.05621,0.03646,2.4647,1.3435000000000001,0.65374,0.4031,0.33282
