,Score,Std,batch_size,beta_1,beta_2,decay,dropout_rate,epochs,epsilon,filters1,filters2,filters3,filters4,filters5,filters6,filters_dense,init,kernel_size1,kernel_size2,kernel_size3,kernel_size4,kernel_size5,kernel_size6,layers,lr,max_meanPool_1,max_meanPool_2,max_meanPool_3,max_meanPool_4,max_meanPool_5,max_meanPool_6,momentum,nesterov,optimizer,pool_size1,pool_size2,pool_size3,pool_size4,pool_size5,pool_size6,rho,schedule_decay,stride1,stride2,stride3,stride4,stride5,stride6
37,0.08301537028924284,0.048772729532362565,18,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,128,64,256,512,256,glorot_uniform,2,2,3,2,2,3,6,0.0001,2,1,1,2,2,2,0.9,False,RMSprop,1,2,1,3,2,3,0.894557,0.001,2,2,2,2,2,1
38,0.08191147370766164,0.0457646520663386,18,0.9811,0.97139,0.005,0.0,100,1e-07,512,32,512,256,32,32,64,glorot_uniform,2,3,3,1,2,2,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,4,1,2,1,1,0.894557,0.001,2,3,3,4,3,1
39,0.0806184912694205,0.05355220781984916,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,32,128,256,256,512,glorot_uniform,2,2,2,3,2,4,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,3,3,4,3,2,0.894557,0.001,2,4,1,3,4,1
40,0.07967940137907062,0.04235622428315717,12,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,512,256,64,512,256,glorot_uniform,2,4,4,4,2,3,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,4,4,4,1,4,0.894557,0.001,2,4,3,1,1,1
41,0.07849526794223441,0.041671358680604925,18,0.9811,0.97139,0.005,0.0,100,1e-07,512,512,256,128,128,128,512,glorot_uniform,2,4,3,4,3,2,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,4,1,4,4,1,0.894557,0.001,2,4,3,2,4,4
42,0.07637771025600694,0.039130986591415236,12,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,512,512,128,256,32,glorot_uniform,2,2,3,4,1,3,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,2,3,1,1,2,0.894557,0.001,2,2,4,3,2,2
43,0.07581532610171604,0.04255176371224599,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,32,512,128,512,256,32,glorot_uniform,2,3,1,2,2,1,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,4,4,2,2,1,0.894557,0.001,2,2,3,2,1,4
44,0.0753803406018118,0.029723565308434566,14,0.9811,0.97139,0.005,0.0,100,1e-07,512,128,32,512,64,512,512,glorot_uniform,2,3,2,3,2,2,6,0.0001,2,1,1,2,2,2,0.9,False,RMSprop,1,2,3,1,4,4,0.894557,0.001,2,1,4,3,2,4
45,0.07487392833468587,0.03558941606739222,18,0.9811,0.97139,0.005,0.0,100,1e-07,512,64,256,512,128,64,32,glorot_uniform,2,3,2,2,2,3,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,1,2,4,1,2,0.894557,0.001,2,1,4,4,4,2
46,0.07357674430418451,0.03508307501402191,18,0.9811,0.97139,0.005,0.0,100,1e-07,512,128,128,128,64,512,256,glorot_uniform,2,1,3,1,3,1,6,0.00015,2,1,1,2,2,2,0.9,False,RMSprop,1,3,4,2,4,4,0.894557,0.001,2,1,4,2,2,1
47,0.07352049784134,0.035665688550234956,14,0.9811,0.97139,0.005,0.0,100,1e-07,512,32,256,256,64,256,32,glorot_uniform,2,1,4,3,2,1,6,0.00015,2,1,1,2,2,2,0.9,False,RMSprop,1,3,1,1,2,2,0.894557,0.001,2,3,1,2,1,1
48,0.0731963131669901,0.03746419931858058,12,0.9811,0.97139,0.005,0.0,100,1e-07,512,64,32,128,256,64,512,glorot_uniform,2,4,2,4,4,3,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,3,4,2,4,1,0.894557,0.001,2,1,4,4,2,3
49,0.07157185955827064,0.03505503062234544,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,32,32,32,64,512,glorot_uniform,2,1,4,3,1,4,6,0.00015,2,1,1,2,2,2,0.9,False,RMSprop,1,4,1,4,3,2,0.894557,0.001,2,1,2,3,1,1
50,0.07085822920320185,0.03057950701582686,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,32,128,64,128,64,glorot_uniform,2,2,4,3,1,2,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,3,4,1,2,3,0.894557,0.001,2,4,4,2,4,3
